name,bot_type,capital,real_world_target,traits
NPS (한국 국민연금),PENSION_FUND,250000000000000,US10Y,"{""riskTolerance"": 0.05, ""tradingStyle"": ""LIMIT_HEAVY"", ""targetYTM"": {""10Y_BOND"": 0.035}, ""rebalanceIntervalMs"": 60000, ""sectorTargets"": {""FINANCE"": 0.4, ""MANUFACTURING"": 0.4, ""TECH"": 0.2}}"
CalPERS (미 캘리포니아 공무원 연금),PENSION_FUND,200000000000000,US10Y,"{""riskTolerance"": 0.04, ""tradingStyle"": ""LIMIT_HEAVY"", ""targetYTM"": {""10Y_BOND"": 0.038}, ""rebalanceIntervalMs"": 60000, ""sectorTargets"": {""TECH"": 0.3, ""FINANCE"": 0.3, ""ENERGY"": 0.4}}"
GPIF (일본 연금적립금),PENSION_FUND,180000000000000,US10Y,"{""riskTolerance"": 0.03, ""tradingStyle"": ""LIMIT_HEAVY"", ""targetYTM"": {""10Y_BOND"": 0.030}, ""rebalanceIntervalMs"": 60000, ""sectorTargets"": {""MANUFACTURING"": 0.5, ""FINANCE"": 0.3, ""CONSUMER"": 0.2}}"
NBIM (노르웨이 국부펀드),PENSION_FUND,300000000000000,US10Y,"{""riskTolerance"": 0.06, ""tradingStyle"": ""LIMIT_HEAVY"", ""targetYTM"": {""10Y_BOND"": 0.032}, ""rebalanceIntervalMs"": 60000, ""sectorTargets"": {""ENERGY"": 0.5, ""TECH"": 0.3, ""FINANCE"": 0.2}}"
J.P. Morgan (제이피모건),COMMERCIAL_BANK,80000000000000,FEDFUNDS,"{""reactionSpeed"": 800, ""tradingStyle"": ""SWEEP_AGGRESSIVE"", ""targetSpread"": {""1Y_BOND"": 0.005}}"
Citi Bank (씨티은행),COMMERCIAL_BANK,60000000000000,FEDFUNDS,"{""reactionSpeed"": 900, ""tradingStyle"": ""SWEEP_AGGRESSIVE"", ""targetSpread"": {""1Y_BOND"": 0.004}}"
Goldman Sachs Bank (골드만삭스),COMMERCIAL_BANK,90000000000000,FEDFUNDS,"{""reactionSpeed"": 600, ""tradingStyle"": ""SWEEP_AGGRESSIVE"", ""targetSpread"": {""1Y_BOND"": 0.003}}"
Soros Fund Management (소로스 펀드),HEDGE_FUND,120000000000000,VIX,"{""reactionSpeed"": 500, ""tradingStyle"": ""SWEEP_AGGRESSIVE"", ""portfolioTarget"": {""equity"": 0.6, ""safeBonds"": 0.2, ""highYield"": 0.2}, ""currentSentiment"": ""NEUTRAL"", ""sectorTargets"": {""FINANCE"": 0.4, ""ENERGY"": 0.3, ""TECH"": 0.3}}"
BlackRock (블랙록),HEDGE_FUND,300000000000000,VIX,"{""reactionSpeed"": 400, ""tradingStyle"": ""SWEEP_AGGRESSIVE"", ""portfolioTarget"": {""equity"": 0.5, ""safeBonds"": 0.4, ""highYield"": 0.1}, ""currentSentiment"": ""NEUTRAL"", ""sectorTargets"": {""TECH"": 0.3, ""FINANCE"": 0.3, ""CONSUMER"": 0.2, ""BIO"": 0.2}}"
Bridgewater Associates (브릿지워터),HEDGE_FUND,150000000000000,VIX,"{""reactionSpeed"": 600, ""tradingStyle"": ""SWEEP_AGGRESSIVE"", ""portfolioTarget"": {""equity"": 0.4, ""safeBonds"": 0.5, ""highYield"": 0.1}, ""currentSentiment"": ""NEUTRAL"", ""sectorTargets"": {""FINANCE"": 0.5, ""MANUFACTURING"": 0.3, ""CONSUMER"": 0.2}}"
Citadel Securities (시타델 시큐리티스),PROP_DESK,20000000000000,VIX,"{""reactionSpeed"": 5, ""tradingStyle"": ""MARKET_MAKER"", ""mmConfig"": {""maxInventory"": 100000, ""targetSpreadHoga"": 1, ""tickProfitTarget"": 1}}"
Jane Street (제인 스트리트),PROP_DESK,15000000000000,VIX,"{""reactionSpeed"": 10, ""tradingStyle"": ""MARKET_MAKER"", ""mmConfig"": {""maxInventory"": 80000, ""targetSpreadHoga"": 1, ""tickProfitTarget"": 1}}"
WallStreetBets (WSB 군단),RETAIL_SWARM,5000000000000,NONE,"{""fomoThreshold"": 0.05, ""panicThreshold"": -0.05, ""tradingStyle"": ""MOMENTUM_CHASER""}"
동학개미운동 (국내 투심),RETAIL_SWARM,8000000000000,NONE,"{""fomoThreshold"": 0.03, ""panicThreshold"": -0.10, ""tradingStyle"": ""VALUE_DIP_BUYER""}"
